"Time","home workout"
"2026-05-28",82
"2026-05-29",77
"2026-05-30",76
"2026-05-31",69
"2026-06-01",93
"2026-06-02",95
"2026-06-03",90
"2026-06-04",88
"2026-06-05",89
"2026-06-06",76
"2026-06-07",71
"2026-06-08",88
"2026-06-09",89
"2026-06-10",90
"2026-06-11",88
"2026-06-12",79
"2026-06-13",78
"2026-06-14",71
"2026-06-15",93
"2026-06-16",97
"2026-06-17",86
"2026-06-18",91
"2026-06-19",80
"2026-06-20",78
"2026-06-21",68
"2026-06-22",89
"2026-06-23",93
"2026-06-24",87
"2026-06-25",80
"2026-06-26",79
"2026-06-27",77
"2026-06-28",74
"2026-06-29",88
"2026-06-30",94
"2026-07-01",90
"2026-07-02",93
"2026-07-03",87
"2026-07-04",79
"2026-07-05",72
"2026-07-06",92
"2026-07-07",89
"2026-07-08",90
"2026-07-09",93
"2026-07-10",91
"2026-07-11",83
"2026-07-12",76
"2026-07-13",100
"2026-07-14",89
"2026-07-15",89
"2026-07-16",91
"2026-07-17",84
"2026-07-18",77
"2026-07-19",73
"2026-07-20",88
"2026-07-21",86
"2026-07-22",83
"2026-07-23",90
"2026-07-24",78
"2026-07-25",73
"2026-07-26",67
"2026-07-27",89
"2026-07-28",90
"2026-07-29",87
"2026-07-30",84
"2026-07-31",82
"2026-08-01",77
"2026-08-02",69
"2026-08-03",91
"2026-08-04",96
"2026-08-05",96
"2026-08-06",87
"2026-08-07",84
"2026-08-08",73
"2026-08-09",68
"2026-08-10",83
"2026-08-11",86
"2026-08-12",86
"2026-08-13",80
"2026-08-14",73
"2026-08-15",66
"2026-08-16",70
"2026-08-17",84
"2026-08-18",86
"2026-08-19",87
"2026-08-20",85
"2026-08-21",77
"2026-08-22",75
"2026-08-23",70
"2026-08-24",79
"2026-08-25",75
