"Time","home workout men"
"2026-05-28",91
"2026-05-29",47
"2026-05-30",42
"2026-05-31",70
"2026-06-01",88
"2026-06-02",79
"2026-06-03",82
"2026-06-04",82
"2026-06-05",87
"2026-06-06",56
"2026-06-07",64
"2026-06-08",60
"2026-06-09",87
"2026-06-10",80
"2026-06-11",79
"2026-06-12",91
"2026-06-13",92
"2026-06-14",59
"2026-06-15",81
"2026-06-16",61
"2026-06-17",88
"2026-06-18",73
"2026-06-19",68
"2026-06-20",77
"2026-06-21",78
"2026-06-22",97
"2026-06-23",100
"2026-06-24",86
"2026-06-25",73
"2026-06-26",71
"2026-06-27",92
"2026-06-28",56
"2026-06-29",67
"2026-06-30",92
"2026-07-01",83
"2026-07-02",79
"2026-07-03",62
"2026-07-04",87
"2026-07-05",71
"2026-07-06",81
"2026-07-07",71
"2026-07-08",80
"2026-07-09",87
"2026-07-10",85
"2026-07-11",73
"2026-07-12",86
"2026-07-13",80
"2026-07-14",78
"2026-07-15",99
"2026-07-16",70
"2026-07-17",66
"2026-07-18",85
"2026-07-19",74
"2026-07-20",87
"2026-07-21",80
"2026-07-22",91
"2026-07-23",74
"2026-07-24",73
"2026-07-25",80
"2026-07-26",73
"2026-07-27",74
"2026-07-28",81
"2026-07-29",82
"2026-07-30",79
"2026-07-31",67
"2026-08-01",66
"2026-08-02",66
"2026-08-03",79
"2026-08-04",59
"2026-08-05",90
"2026-08-06",64
"2026-08-07",71
"2026-08-08",55
"2026-08-09",56
"2026-08-10",74
"2026-08-11",67
"2026-08-12",60
"2026-08-13",62
"2026-08-14",52
"2026-08-15",58
"2026-08-16",59
"2026-08-17",71
"2026-08-18",71
"2026-08-19",65
"2026-08-20",65
"2026-08-21",68
"2026-08-22",62
"2026-08-23",61
"2026-08-24",72
"2026-08-25",50
