"Time","home workout women"
"2026-05-28",88
"2026-05-29",71
"2026-05-30",81
"2026-05-31",60
"2026-06-01",97
"2026-06-02",90
"2026-06-03",74
"2026-06-04",92
"2026-06-05",68
"2026-06-06",71
"2026-06-07",77
"2026-06-08",95
"2026-06-09",82
"2026-06-10",82
"2026-06-11",96
"2026-06-12",79
"2026-06-13",68
"2026-06-14",80
"2026-06-15",90
"2026-06-16",99
"2026-06-17",98
"2026-06-18",83
"2026-06-19",67
"2026-06-20",85
"2026-06-21",62
"2026-06-22",69
"2026-06-23",83
"2026-06-24",65
"2026-06-25",78
"2026-06-26",79
"2026-06-27",73
"2026-06-28",86
"2026-06-29",97
"2026-06-30",90
"2026-07-01",85
"2026-07-02",94
"2026-07-03",90
"2026-07-04",77
"2026-07-05",67
"2026-07-06",85
"2026-07-07",100
"2026-07-08",94
"2026-07-09",79
"2026-07-10",80
"2026-07-11",69
"2026-07-12",69
"2026-07-13",87
"2026-07-14",91
"2026-07-15",85
"2026-07-16",75
"2026-07-17",65
"2026-07-18",71
"2026-07-19",83
"2026-07-20",94
"2026-07-21",92
"2026-07-22",66
"2026-07-23",87
"2026-07-24",54
"2026-07-25",88
"2026-07-26",65
"2026-07-27",77
"2026-07-28",93
"2026-07-29",89
"2026-07-30",69
"2026-07-31",61
"2026-08-01",71
"2026-08-02",63
"2026-08-03",75
"2026-08-04",76
"2026-08-05",83
"2026-08-06",87
"2026-08-07",76
"2026-08-08",75
"2026-08-09",77
"2026-08-10",65
"2026-08-11",71
"2026-08-12",74
"2026-08-13",62
"2026-08-14",60
"2026-08-15",51
"2026-08-16",58
"2026-08-17",76
"2026-08-18",82
"2026-08-19",70
"2026-08-20",71
"2026-08-21",63
"2026-08-22",56
"2026-08-23",59
"2026-08-24",65
"2026-08-25",59
