"Time","home workout yoga"
"2026-05-28",56
"2026-05-29",68
"2026-05-30",55
"2026-05-31",0
"2026-06-01",67
"2026-06-02",64
"2026-06-03",0
"2026-06-04",58
"2026-06-05",46
"2026-06-06",0
"2026-06-07",0
"2026-06-08",0
"2026-06-09",0
"2026-06-10",61
"2026-06-11",0
"2026-06-12",0
"2026-06-13",0
"2026-06-14",50
"2026-06-15",46
"2026-06-16",0
"2026-06-17",0
"2026-06-18",0
"2026-06-19",64
"2026-06-20",57
"2026-06-21",0
"2026-06-22",54
"2026-06-23",75
"2026-06-24",97
"2026-06-25",58
"2026-06-26",72
"2026-06-27",72
"2026-06-28",63
"2026-06-29",84
"2026-06-30",58
"2026-07-01",71
"2026-07-02",83
"2026-07-03",61
"2026-07-04",56
"2026-07-05",55
"2026-07-06",49
"2026-07-07",66
"2026-07-08",51
"2026-07-09",72
"2026-07-10",53
"2026-07-11",81
"2026-07-12",74
"2026-07-13",68
"2026-07-14",0
"2026-07-15",0
"2026-07-16",0
"2026-07-17",0
"2026-07-18",58
"2026-07-19",0
"2026-07-20",100
"2026-07-21",49
"2026-07-22",60
"2026-07-23",0
"2026-07-24",62
"2026-07-25",47
"2026-07-26",61
"2026-07-27",58
"2026-07-28",57
"2026-07-29",0
"2026-07-30",0
"2026-07-31",56
"2026-08-01",44
"2026-08-02",0
"2026-08-03",66
"2026-08-04",0
"2026-08-05",45
"2026-08-06",0
"2026-08-07",78
"2026-08-08",45
"2026-08-09",0
"2026-08-10",46
"2026-08-11",46
"2026-08-12",46
"2026-08-13",40
"2026-08-14",33
"2026-08-15",27
"2026-08-16",39
"2026-08-17",46
"2026-08-18",47
"2026-08-19",49
"2026-08-20",43
"2026-08-21",40
"2026-08-22",39
"2026-08-23",39
"2026-08-24",33
"2026-08-25",49
