"query","search interest","increase percent"
"workout at home",100,"-7%"
"home body workout",22,"-2%"
"chest workout home",19,"2%"
"home chest workout",18,"-1%"
"home workout chest",18,"-5%"
"chest home workout",18,"-7%"
"chest workout",17,"-5%"
"body workout at home",16,"-10%"
"full body workout",15,"-1%"
"chest workout at home",15,"-4%"
"home workout full body",14,"0%"
"full body home workout",14,"-7%"
"gym",12,"0%"
"home gym workout",12,"-1%"
"full body workout at home",12,"-4%"
"workout at home full body",12,"-2%"
"gym workout",12,"-5%"
"gym workout home",12,"3%"
"exercise",10,"-9%"
"abs workout",10,"-6%"
"home back workout",9,"-3%"
"back workout",9,"-1%"
"back workout home",9,"-6%"
"back home workout",9,"-7%"
"abs workout at home",9,"3%"
"home workout with dumbbells",9,"-2%"
"gym workout at home",9,"6%"
"workout exercise at home",8,"-2%"
"back workout at home",8,"-2%"
"workout with dumbbells at home",8,"2%"
"biceps workout",7,"-4%"
"home leg workout",7,"-5%"
"best home workout",7,"-6%"
"dumbbell workout home",7,"8%"
"shoulder workout",7,"-3%"
"dumbbell workout",7,"6%"
"leg workout",7,"-10%"
"biceps workout at home",6,"-10%"
"home workout for women",6,"-3%"
"women workout at home",6,"-2%"
"shoulder workout at home",6,"-1%"
"home cardio workout",6,"10%"
"leg workout at home",6,"-10%"
"home workout for beginners",6,"1%"
"cardio workout",6,"7%"
"cardio workout at home",5,"8%"
"dumbbell workout at home",5,"8%"
"home workout equipment",5,"-8%"
"workout at home for women",5,"-8%"
"home workout for men",4,"7%"
