"query","search interest","increase percent"
"home workout for men",100,"6%"
"workout at home",49,"-5%"
"workout for men at home",41,"-3%"
"workout at home for men",41,"-4%"
"abs workout",14,"20%"
"home abs workout for men",13,"20%"
"abs workout for men",13,"20%"
"home workout for abs",12,"10%"
"body workout at home",12,"-9%"
"full body workout",12,"-1%"
"exercise",11,"1%"
"abs workout at home men",11,"10%"
"home workout full body",11,"-5%"
"home full body workout",11,"-6%"
"abs workout at home",11,"8%"
"gym workout",10,"-3%"
"abs workout for men at home",10,"9%"
"gym",10,"-5%"
"abs workout at home for men",10,"6%"
"fat loss workout",8,"-4%"
"workout at home full body",7,"-10%"
"full body workout at home",7,"-10%"
"chest workout at home",6,"-10%"
"home workout for beginners",6,"6%"
"belly fat workout",6,"-10%"
"fat loss workout at home",5,"-7%"
"home workout with dumbbells",5,"9%"
"belly fat workout for men",5,"-8%"
"chest workout at home for men",5,"-20%"
"full body workout at home for men",5,"-20%"
"weight loss",4,"5%"
"belly fat workout at home",4,"-30%"
"cardio workout",4,"4%"
"workout at home for beginners",4,"4%"
"home workout without equipment",4,"-9%"
"leg workout",3,"-20%"
"home workout without equipment for men",3,"-10%"
"home workout for men without equipment",3,"-10%"
"dumbbell workout",3,"-8%"
"home cardio workout for men",3,"5%"
"weight loss workout at home",3,"-5%"
"back workout at home",3,"-9%"
"cardio workout at home",3,"-3%"
"leg workout at home",3,"-8%"
"cardio workout at home for men",2,"2%"
"workout songs",2,"-7%"
"biceps workout at home",2,"30%"
"home workouts for men",2,"20%"
"leg workout at home for men",2,"-10%"
"home workout plan for men",2,"-4%"
