"query","search interest","increase percent"
"pilates at home",100,"-5%"
"pilates at home workout",99,"-7%"
"workout at home",99,"-6%"
"at home pilates workout",99,"-7%"
"at home pilates",99,"-7%"
"pilates workout at home",97,"-7%"
"pilates for beginners",22,"10%"
"pilates workout for beginners",22,"10%"
"full body pilates workout",21,"10%"
"full body workout",21,"9%"
"home workout full body",20,"0%"
"full body pilates",19,"4%"
"full body workout at home",19,"3%"
"at home full body workout",19,"20%"
"pilates at home for beginners",16,"-4%"
"pilates workout for beginners at home",15,"-9%"
"home workout for women",11,"20%"
"exercise",11,"20%"
"pilates for weight loss",10,"-20%"
"pilates workout for weight loss",10,"-20%"
"abs workout",9,"-3%"
"pilates abs workout",9,"-10%"
"pilates exercise",9,"-10%"
"abs workout at home",8,"-20%"
"beginner workout at home",7,"-3%"
"arms workout",7,"250%"
"beginner pilates at home",7,"-20%"
"cardio workout at home",6,"20%"
"cardio workout",6,"-10%"
"strength training at home",5,"1%"
"pilates board workout",5,"-40%"
"yoga",5,"-40%"
"cardio pilates",5,"-8%"
"belly fat workout at home",4,"90%"
"arm workout",4,"150%"
"dance workout",4,"-10%"
"pilates workout machine",4,"110%"
"core workout",4,"7%"
"arms workout at home",4,"90%"
"leg workout",4,"-5%"
"pilates core workout",4,"-8%"
"leg workout at home",3,"30%"
"core workout at home",3,"9%"
"move with nicole pilates",3,"40%"
"calisthenics",3,"40%"
"back workout at home",3,"-30%"
"move with nicole",3,"-30%"
"glutes workout at home",2,"-10%"
"upper body workout",2,"-40%"
"upper body workout at home",2,"-40%"
