"query","search interest","increase percent"
"workout routine at home",100,"-2%"
"workout at home",98,"-3%"
"workout at home routine",98,"-7%"
"daily routine",40,"20%"
"best home workout routine",24,"-20%"
"exercise routine",24,"-6%"
"exercise",23,"-7%"
"home gym workout routine",23,"8%"
"home workout full body",23,"-7%"
"gym workout",22,"7%"
"daily workout routine at home",22,"4%"
"daily workout at home",19,"-10%"
"gym routine",19,"-10%"
"full body workout",19,"-20%"
"chest workout at home",13,"30%"
"chest workout",12,"-40%"
"best workout routine at home",12,"-30%"
"morning workout",12,"-10%"
"home workout for men",11,"10%"
"morning workout at home",10,"20%"
"full body workout at home",10,"-30%"
"calisthenics",9,"2%"
"biceps workout at home",6,"-20%"
"calisthenics workout at home",6,"-20%"
"abs workout at home",6,"-20%"
"workout routines at home",5,"3%"
"beginner workout at home",5,"2%"
"back workout at home",4,"-50%"
"leg workout at home",3,"-20%"
"home workout transformation",1,"Breakout"
"home workout routines for beginners",0,"Breakout"
"workout songs",0,"-90%"
"cardio workout at home",0,"-100%"
"shoulder workout at home",0,"-90%"
"upper body workout at home",0,"-90%"
