"query","search interest","increase percent"
"workout for women",100,"-5%"
"home workout for women",100,"-5%"
"workout at home",99,"-1%"
"women workout at home",98,"-4%"
"workout women at home",95,"-5%"
"workout for women at home",78,"-10%"
"workout at home for women",77,"-6%"
"exercise",20,"-5%"
"full body workout",13,"5%"
"home workout full body",13,"5%"
"chest workout",12,"0%"
"full body workout at home",11,"6%"
"chest workout at home",11,"1%"
"abs workout",11,"20%"
"workout for weight loss",10,"-9%"
"abs workout at home",10,"20%"
"abs workout women at home",10,"20%"
"full body workout at home for women",10,"5%"
"full body workout for women at home",10,"5%"
"fat loss workout",10,"-10%"
"chest workout for women",9,"-3%"
"weight loss workout at home",9,"-8%"
"abs workout for women",9,"20%"
"belly fat workout",9,"-10%"
"home workout for beginners",9,"6%"
"chest workout for women at home",9,"-3%"
"abs workout at home for women",9,"20%"
"abs workout for women at home",9,"20%"
"chest workout at home for women",9,"-7%"
"fat loss workout at home",9,"-10%"
"belly fat workout for women",8,"-20%"
"belly fat workout at home",8,"-10%"
"home gym workout",8,"-1%"
"dumbbell workout home",6,"20%"
"dumbbell workout",6,"20%"
"leg workout",6,"-10%"
"back workout at home",6,"-1%"
"dumbbell workout at home",5,"20%"
"leg workout at home",5,"-10%"
"back workout for women",5,"-6%"
"beginner workout at home",4,"-9%"
"leg workout at home for women",4,"-20%"
"leg workout for women at home",4,"-30%"
"home workout equipment for women",4,"-3%"
"cardio workout at home",3,"-8%"
"upper body workout",3,"-10%"
"shoulder workout at home",3,"10%"
"daily workout at home",3,"5%"
"glutes workout",3,"-10%"
"upper body workout at home",3,"-6%"
