"query","search interest","increase percent"
"yoga workout at home",100,"-1%"
"yoga at home",99,"-3%"
"workout at home",98,"-3%"
"body workout at home",31,"5%"
"full body workout",26,"6%"
"full body yoga",26,"9%"
"full body yoga workout",26,"8%"
"home workout full body",26,"7%"
"weight loss yoga",25,"3%"
"yoga exercise",25,"1%"
"exercise",25,"1%"
"workout at home full body",23,"1%"
"weight loss workout at home",22,"1%"
"full body workout at home",22,"1%"
"weight loss yoga at home",21,"-4%"
"yoga for beginners",21,"-1%"
"home workout for beginners",21,"-4%"
"yoga for weight loss",20,"-1%"
"yoga for beginners at home",18,"-4%"
"yoga at home for beginners",18,"4%"
"workout for beginners at home",18,"-5%"
"workout at home for beginners",18,"-10%"
"exercise for home workout",16,"0%"
"yoga for women",15,"-1%"
"home workout for women",15,"-4%"
"women workout at home",14,"-3%"
"workout at home for women",12,"-5%"
"cardio workout",10,"1%"
"home cardio workout",10,"9%"
"belly fat workout",9,"10%"
"cardio workout at home",9,"-10%"
"dance workout",9,"-1%"
"beginner yoga",8,"20%"
"home gym workout",8,"-4%"
"face yoga",8,"-5%"
"gym workout",7,"-5%"
"abs workout",7,"10%"
"belly fat workout at home",7,"-5%"
"abs workout at home",7,"6%"
"beginner yoga at home",7,"10%"
"gym workout at home",7,"10%"
"yoga for belly fat",7,"10%"
"beginner workout at home",6,"3%"
"strength workout at home",6,"20%"
"gym at home",6,"8%"
"surya namaskar yoga",6,"50%"
"leg workout at home",6,"2%"
"chest workout",6,"-20%"
"leg workout",6,"-2%"
"chest workout at home",6,"-20%"
