"query","search interest","increase percent"
"online home workout",100,"80%"
"pre workout",33,"-20%"
"online workout classes",32,"80%"
"can we drink glucon d during workout",20,"-5%"
"online games",14,"40%"
"home workout without equipment",12,"250%"
"chest workout",11,"160%"
"shoulder workout",8,"80%"
"face workout",6,"-20%"
"best workout apps",5,"-60%"
"calisthenics workout plan",4,"-10%"
"home bodyweight exercises workout",3,"Breakout"
"how to make money online",3,"Breakout"
"online chess",3,"-2%"
"workout clothes",3,"-50%"
"fitoofitness.in workout",3,"Breakout"
"learn photoshop for beginners",0,"Breakout"
"easy and quick recipes",0,"Breakout"
"small business ideas",0,"3,750%"
"uefa champions league news",0,"3,700%"
"how to study effectively",0,"2,900%"
"decathlon online",0,"2,700%"
